geoid,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
00601,166659749,799292,64.348,0.309,18.180555,-66.749961,2018
00602,79307535,4428429,30.621,1.71,18.361945000000002,-67.175597,2018
00603,81887185,181411,31.616999999999997,0.07,18.455182999999998,-67.119887,2018
00606,109579993,12487,42.309,0.005,18.158327,-66.932928,2018
00610,93013427,4172059,35.913000000000004,1.611,18.295366,-67.125135,2018
00612,175065125,9790060,67.593,3.78,18.402252999999998,-66.71139699999999,2018
00616,29862636,149156,11.53,0.057999999999999996,18.420412,-66.67197900000001,2018
00617,39355372,3980436,15.195,1.537,18.447538,-66.557681,2018
00622,75090750,1694880,28.993000000000002,0.654,17.991245000000003,-67.153993,2018
00623,98351689,1633538,37.974000000000004,0.631,18.083361,-67.153897,2018
00624,111794962,2525012,43.163999999999994,0.975,18.064919,-66.71668299999999,2018
00627,120058279,3507026,46.355,1.354,18.4126,-66.863926,2018
00631,10414671,669972,4.021,0.259,18.190607,-66.832041,2018
00637,89222631,25323,34.449,0.01,18.076713,-66.947389,2018
00638,171055427,493327,66.045,0.19,18.295913,-66.515588,2018
00641,242243032,3460661,93.531,1.3359999999999999,18.263097,-66.712963,2018
00646,53682632,3250520,20.726999999999997,1.255,18.43315,-66.285875,2018
00647,39379845,8013311,15.205,3.094,17.963613,-66.94712700000001,2018
00650,79052758,557192,30.522,0.215,18.349416,-66.578079,2018
00652,17915346,15537,6.917000000000001,0.006,18.448439999999998,-66.59411,2018
00653,39477265,5203941,15.242,2.009,17.985032999999998,-66.88653599999999,2018
00656,83954597,4355104,32.415,1.682,18.053539,-66.79293100000001,2018
00659,108213686,3036871,41.782,1.173,18.407226,-66.808999,2018
00660,29384893,481,11.345999999999998,0.0,18.134695,-67.116199,2018
00662,114927974,5321070,44.373999999999995,2.0540000000000003,18.468297,-67.015751,2018
00664,117897682,3091,45.521,0.001,18.21033,-66.591616,2018
00667,156212334,28250306,60.31399999999999,10.908,18.003422,-67.03581,2018
00669,159419192,168344,61.552,0.065,18.277102,-66.86964499999999,2018
00670,118025319,357846,45.57,0.138,18.240187,-66.988776,2018
00674,116433921,6871698,44.955,2.653,18.422908,-66.489337,2018
00676,130630343,56474,50.437,0.022000000000000002,18.377637,-67.079574,2018
00677,37137333,3594733,14.339,1.3880000000000001,18.332568,-67.22702199999999,2018
00678,68274013,3796760,26.361,1.466,18.434099,-66.927384,2018
00680,166308128,19820072,64.212,7.653,18.178225,-67.151514,2018
00682,37304307,6321605,14.402999999999999,2.441,18.221464,-67.156039,2018
00683,135165044,29360,52.188,0.011000000000000001,18.1078,-67.037263,2018
00685,200808250,2058243,77.533,0.795,18.332929,-66.959689,2018
00687,100676183,139537,38.871,0.054000000000000006,18.319026,-66.42055699999999,2018
00688,82408338,72551,31.818,0.027999999999999997,18.382310999999998,-66.626416,2018
00690,7292585,11145,2.8160000000000003,0.004,18.49551,-67.098671,2018
00692,69309234,1998420,26.76,0.772,18.410188,-66.336556,2018
00693,101849422,3643054,39.324,1.4069999999999998,18.422987,-66.397214,2018
00694,2070446,1957115,0.799,0.7559999999999999,18.483063,-66.392379,2018
00698,180312876,7761602,69.619,2.997,18.064848,-66.856319,2018
00703,76855348,28383,29.674,0.011000000000000001,18.248401,-66.130662,2018
00704,12633150,1768450,4.878,0.6829999999999999,17.965770000000003,-66.219555,2018
00705,82748304,72302,31.949,0.027999999999999997,18.128961,-66.266683,2018
00707,54561536,3816673,21.066,1.474,18.014055,-65.920751,2018
00714,37863486,42740,14.619000000000002,0.017,18.003025,-66.046237,2018
00715,20381738,150234,7.869,0.057999999999999996,18.011232999999997,-66.56006500000001,2018
00716,22174337,7917755,8.562000000000001,3.057,17.991269,-66.606774,2018
00717,5443501,77762,2.102,0.03,18.003222,-66.614037,2018
00718,117171774,3457281,45.24,1.335,18.231988,-65.759623,2018
00719,72527850,898340,28.003,0.34700000000000003,18.289920000000002,-66.25344,2018
00720,154382625,286519,59.607,0.111,18.217945999999998,-66.428076,2018
00723,119553977,1319679,46.16,0.51,18.043498,-66.015479,2018
00725,109356062,1177083,42.223,0.45399999999999996,18.218819,-66.042375,2018
00727,55676837,26958,21.497,0.01,18.215308,-66.073565,2018
00728,40524729,21618805,15.647,8.347000000000001,17.989853,-66.664116,2018
00729,87958817,364682,33.961,0.141,18.323585,-65.883206,2018
00730,16873937,108086,6.515,0.042,18.030831,-66.616838,2018
00731,123629339,2783085,47.733999999999995,1.075,18.109947000000002,-66.635622,2018
00735,60368949,1842361,23.309,0.711,18.252603,-65.68249399999999,2018
00736,142702104,78607,55.098,0.03,18.103624,-66.151667,2018
00738,76345231,78611067,29.476999999999997,30.351999999999997,18.308717,-65.738915,2018
00739,81792963,1113757,31.58,0.43,18.177232999999998,-66.160645,2018
00740,1103420,40887,0.426,0.016,18.331178,-65.63410400000001,2018
00741,6121388,2792488,2.363,1.078,18.163854999999998,-65.754042,2018
00745,133673047,6158136,51.611000000000004,2.378,18.352216000000002,-65.817387,2018
00751,121676234,29332072,46.979,11.325,18.001317,-66.252183,2018
00754,132164375,241724,51.028999999999996,0.09300000000000001,18.147107000000002,-65.976167,2018
00757,77271796,5584962,29.835,2.156,17.995441,-66.391334,2018
00765,49323170,1735817,19.044,0.67,18.130095999999998,-65.439369,2018
00766,103701681,3739019,40.039,1.444,18.133197,-66.476659,2018
00767,143501373,6804952,55.406000000000006,2.627,18.069489,-65.89616099999999,2018
00769,198169783,37652,76.514,0.015,18.1038,-66.357586,2018
00771,87591125,32509,33.819,0.013000000000000001,18.187148,-65.871189,2018
00772,37965382,13642543,14.659,5.267,18.438944,-65.90522,2018
00773,62966801,2572548,24.311999999999998,0.993,18.342888000000002,-65.723109,2018
00775,27346542,33429242,10.559000000000001,12.907,18.326598999999998,-65.30771999999999,2018
00777,68844359,327694,26.581,0.127,18.224133,-65.90854200000001,2018
00778,76776791,1115814,29.644000000000002,0.431,18.264076,-65.97851,2018
00780,52112380,777901,20.121,0.3,18.102834,-66.568105,2018
00782,69008756,319739,26.644000000000002,0.12300000000000001,18.225707999999997,-66.221633,2018
00783,108367774,16284,41.841,0.006,18.303910000000002,-66.32617900000001,2018
00784,143879080,16274804,55.552,6.284,18.010714,-66.133615,2018
00786,666251,0,0.257,0.0,18.155424,-66.229907,2018
00791,95737499,2852905,36.964,1.102,18.136782,-65.821476,2018
00794,91419779,77812,35.297,0.03,18.200018,-66.309282,2018
00795,119806322,958175,46.257,0.37,18.060494,-66.500624,2018
00801,2875852,1354,1.11,0.001,18.349806,-64.974001,2018
00802,71678068,8928397,27.675,3.447,18.340709,-64.92332900000001,2018
00820,78982023,3075493,30.495,1.187,17.7431,-64.68655600000001,2018
00823,1035364,0,0.4,0.0,17.723548,-64.745932,2018
00824,57054,0,0.022000000000000002,0.0,17.744557,-64.68293299999999,2018
00830,50005936,372698,19.307000000000002,0.14400000000000002,18.338559,-64.73653,2018
