state,geoid,ansi_code,name,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
AL,01001,161526,Autauga County,1539602123,25706961,594.444,9.926,32.532237,-86.64644,2018
AL,01003,161527,Baldwin County,4117546676,1133055836,1589.7939999999999,437.475,30.659218,-87.74606700000001,2018
AL,01005,161528,Barbour County,2292144655,50538698,885.002,19.512999999999998,31.870253,-85.40510400000001,2018
AL,01007,161529,Bibb County,1612167481,9602089,622.461,3.707,33.015893,-87.12714799999999,2018
AL,01009,161530,Blount County,1670103911,15015423,644.831,5.797000000000001,33.977358,-86.56644,2018
AL,01011,161531,Bullock County,1613059160,6054988,622.806,2.338,32.101759,-85.717261,2018
AL,01013,161532,Butler County,2012002530,2701198,776.8389999999999,1.043,31.751666999999998,-86.681969,2018
AL,01015,161533,Calhoun County,1569189622,16627597,605.868,6.42,33.771706,-85.822513,2018
AL,01017,161534,Chambers County,1545085607,16971701,596.561,6.553,32.915504,-85.394032,2018
AL,01019,161535,Cherokee County,1433623321,120308339,553.525,46.451,34.069515,-85.65424200000001,2018
AL,01021,161536,Chilton County,1794477075,20592144,692.852,7.9510000000000005,32.854051,-86.726607,2018
AL,01023,161537,Choctaw County,2365869835,19144469,913.467,7.392,31.990954,-88.248889,2018
AL,01025,161538,Clarke County,3207494111,36657891,1238.42,14.154000000000002,31.685521,-87.818624,2018
AL,01027,161539,Clay County,1564251835,5285207,603.961,2.041,33.2704,-85.863525,2018
AL,01029,161540,Cleburne County,1450663940,2354896,560.105,0.909,33.671964,-85.516126,2018
AL,01031,161541,Coffee County,1758565925,3907189,678.9860000000001,1.5090000000000001,31.402258000000003,-85.989602,2018
AL,01033,161542,Colbert County,1535202321,79700277,592.745,30.772,34.703112,-87.801457,2018
AL,01035,161543,Conecuh County,2202007854,6632046,850.2,2.5610000000000004,31.430926,-86.988722,2018
AL,01037,161544,Coosa County,1685850815,39987271,650.911,15.439,32.931445000000004,-86.243482,2018
AL,01039,161545,Covington County,2669129020,34231390,1030.557,13.217,31.243987,-86.44872099999999,2018
AL,01041,161546,Crenshaw County,1576952799,5388561,608.865,2.081,31.732826,-86.319222,2018
AL,01043,161547,Cullman County,1903073019,52422496,734.7810000000001,20.24,34.131923,-86.86926700000001,2018
AL,01045,161548,Dale County,1453244553,4082940,561.101,1.5759999999999998,31.430653999999997,-85.609476,2018
AL,01047,161549,Dallas County,2534919599,39124778,978.738,15.106,32.33354,-87.114356,2018
AL,01049,161550,DeKalb County,2012676479,4121543,777.0989999999999,1.591,34.460929,-85.80399200000001,2018
AL,01051,161551,Elmore County,1601769095,99957723,618.447,38.594,32.597229,-86.142735,2018
AL,01053,161552,Escambia County,2448115119,20504948,945.2230000000001,7.917000000000001,31.122287,-87.16841,2018
AL,01055,161553,Etowah County,1386373604,34568854,535.2819999999999,13.347000000000001,34.047641,-86.034263,2018
