state,geoid,name,lowest_grade_provided,highest_grade_provided,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
AZ,0400082,Colorado River Union High School District,9,12,2711174269,74638171,1046.79,28.818,35.105214000000004,-114.46783400000001,2018
AZ,0400450,Agua Fria Union High School District,9,12,244645640,735546,94.458,0.284,33.481427000000004,-112.407871,2018
AZ,0400720,Antelope Union High School District,9,12,7937907742,3400,3064.843,0.001,32.992049,-113.81737199999999,2018
AZ,0401160,Bicentennial Union High School District,9,12,9842302355,22973076,3800.134,8.87,33.669497,-113.95215300000001,2018
AZ,0401410,Buckeye Union High School District,9,12,3167017504,214246,1222.792,0.083,33.319899,-112.81179399999999,2018
AZ,0401740,Casa Grande Union High School District,9,12,3365208891,1185232,1299.3139999999999,0.45799999999999996,32.839153,-111.920895,2018
AZ,0403450,Glendale Union High School District,9,12,153780176,412966,59.375,0.159,33.574317,-112.135194,2018
AZ,0405070,Mingus Union High School District,9,12,1320301122,401767,509.77099999999996,0.155,34.835063,-112.083898,2018
AZ,0406030,Patagonia Union High School District,9,12,1795991587,1646872,693.436,0.636,31.547287,-110.67995800000001,2018
AZ,0406330,Phoenix Union High School District,9,12,449279210,1970521,173.468,0.7609999999999999,33.440865,-112.099026,2018
AZ,0407530,Santa Cruz Valley Union High School District,9,12,1857316232,3443532,717.1139999999999,1.33,32.641808000000005,-111.434533,2018
AZ,0408340,Tempe Union High School District,9,12,428728943,2511986,165.533,0.97,33.3112,-111.983539,2018
AZ,0408520,Tolleson Union High School District,9,12,264923255,636238,102.287,0.24600000000000002,33.41192,-112.274378,2018
AZ,0408910,Valley Union High School District,9,12,1470351069,694059,567.706,0.268,31.865540000000003,-109.67003799999999,2018
AZ,0409630,Yuma Union High School District,9,12,6343220088,13322679,2449.131,5.144,32.529507,-114.00489099999999,2018
CA,0601650,Acalanes Union High School District,9,12,204876990,4415415,79.10300000000001,1.705,37.878182,-122.130191,2018
CA,0602630,Anaheim Union High School District,7,12,105048292,442229,40.559,0.171,33.827317,-117.962154,2018
CA,0602670,West Sonoma County Union High School District,9,12,835756691,195335943,322.687,75.42,38.484584999999996,-123.085885,2018
CA,0602700,Anderson Union High School District,9,12,615542076,7170106,237.662,2.7680000000000002,40.44312,-122.31563600000001,2018
CA,0602820,Antelope Valley Union Joint High School District,9,12,3597801139,18975485,1389.119,7.3260000000000005,34.654884,-118.149919,2018
CA,0603030,Northern Humboldt Union High School District,9,12,1820948098,33805634,703.072,13.052,40.97322,-123.908635,2018
CA,0605820,Brawley Union High School District,9,12,2029143039,198658273,783.457,76.702,33.085903,-115.679199,2018
CA,0605940,Bret Harte Union High School District,9,12,1101583207,13449989,425.324,5.193,38.147844,-120.46516000000001,2018
CA,0606001,Yosemite Unified School District (9-12),9,12,1224437687,16851136,472.75800000000004,6.506,37.318284000000006,-119.731752,2018
CA,0606003,Twin Rivers Unified School District (9-12),9,12,64094764,36883,24.747,0.013999999999999999,38.739206,-121.48065700000001,2018
CA,0606004,Twin Rivers Unified School District (7-12),7,12,25662735,0,9.908,0.0,38.655109,-121.447322,2018
CA,0606005,Scott Valley Unified School District (9-12),9,12,1665938719,4125720,643.2230000000001,1.5930000000000002,41.266394,-123.17051699999999,2018
CA,0606006,Trinity Alps Unified School District (9-12),9,12,2968843743,65289153,1146.277,25.208000000000002,40.917078000000004,-123.061783,2018
CA,0606013,Turlock Unified School District (9-12),9,12,190107914,477368,73.40100000000001,0.184,37.482343,-120.95373000000001,2018
CA,0606015,Santa Cruz City High School District (9-12),9,12,45662032,68773652,17.63,26.554000000000002,36.954599,-121.975531,2018
CA,0606016,Dinuba Unified School District (9-12),9,12,73237774,0,28.276999999999997,0.0,36.490608,-119.34015500000001,2018
CA,0606018,Washington Unified School District (9-12),9,12,116674615,94412,45.048,0.036000000000000004,36.645101000000004,-119.797572,2018
CA,0606019,Santa Barbara Unified School District (7-12),7,12,291564722,178335011,112.574,68.85600000000001,34.4401,-119.84568700000001,2018
CA,0606020,Lammersville Joint Unified School District (9-12),9,12,70258461,1041286,27.127,0.402,37.744419,-121.57881100000002,2018
CA,0606021,Bishop Unified School District (9-12),9,12,476790136,4512133,184.09,1.742,37.405439,-118.630103,2018
CA,0606022,Santa Paula Unified School District (9-12),9,12,204076384,2307057,78.794,0.8909999999999999,34.421516,-119.067007,2018
CA,0606025,Hamilton Unified School District (9-12),9,12,30867817,929530,11.918,0.359,39.778719,-122.075414,2018
CA,0606026,Woodlake Unified School District (9-12),9,12,1873057492,6070456,723.192,2.344,36.436989000000004,-118.67153200000001,2018
CA,0606028,Exeter Unified School District (9-12),9,12,131048748,3118304,50.598,1.204,36.328417,-119.09446299999999,2018
CA,0606031,Tracy Unified School District (9-12),9,12,551000092,5621669,212.74200000000002,2.171,37.647445000000005,-121.412419,2018
CA,0606034,Perris Union High School District (9-12),9,12,343624234,1127032,132.674,0.435,33.732926,-117.14899,2018
CA,0606037,Alhambra Unified School District (9-12),9,12,11664643,120610,4.504,0.047,34.058766,-118.09643,2018
CA,0606038,Healdsburg Unified School District (7-12),7,12,368813934,1103730,142.4,0.426,38.702128,-122.874144,2018
CA,0606053,Gonzales Unified School District (9-12),9,12,262182933,2187066,101.229,0.8440000000000001,36.570336,-121.51761699999999,2018
CA,0606107,Porterville Unified School District (9-12),9,12,4879220864,1183581,1883.878,0.457,36.071498,-118.55895500000001,2018
CA,0607230,Campbell Union High School District,9,12,78445531,148821,30.288,0.057,37.275424,-121.946294,2018
CA,0607920,Centinela Valley Union High School District,9,12,23876392,91685,9.219,0.035,33.91028,-118.34808100000001,2018
CA,0608010,Central Union High School District,9,12,405475149,177538,156.555,0.069,32.741078,-115.642152,2018
CA,0608160,Chaffey Joint Union High School District,9,12,423267179,99794,163.424,0.039,34.138557,-117.577679,2018
