combined_state_area_code,geoid,name,metro_status_ind,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",1,5097054271,916050468,1967.984,353.689,30.641097,-86.367692,2017
,25880,"Hillsdale, MI Micro Area",2,1549207599,22938677,598.1519999999999,8.857000000000001,41.927461,-84.637479,2017
,11900,"Athens, OH Micro Area",2,1304383737,12463875,503.625,4.812,39.332603999999996,-82.04584399999999,2017
,13900,"Bismarck, ND Metro Area",1,13921852810,253599437,5375.258000000001,97.915,46.726594,-100.996096,2017
,12900,"Batesville, AR Micro Area",2,1978631574,19593589,763.954,7.565,35.737499,-91.559942,2017
,18900,"Crossville, TN Micro Area",2,1763849850,9823728,681.0260000000001,3.793,35.952397999999995,-84.994761,2017
,22900,"Fort Smith, AR-OK Metro Area",1,8768792139,226627211,3385.65,87.501,35.195534,-94.562533,2017
,24900,"Greenwood, MS Micro Area",2,3163934369,50147243,1221.6019999999999,19.362000000000002,33.491305,-90.113633,2017
,25900,"Hilo, HI Micro Area",2,10433637860,2739470030,4028.45,1057.715,19.597764,-155.502443,2017
,28900,"Klamath Falls, OR Micro Area",2,15391613763,503712593,5942.736,194.485,42.683761,-121.64616799999999,2017
,30900,"Logansport, IN Micro Area",2,1067475985,6974423,412.155,2.693,40.753799,-86.355168,2017
,35900,"North Wilkesboro, NC Micro Area",2,1954249751,6862434,754.54,2.65,36.208883,-81.166095,2017
,36900,"Ottumwa, IA Micro Area",2,2419122169,17733239,934.028,6.847,40.878477000000004,-92.416412,2017
,45900,"Traverse City, MI Micro Area",2,4379583231,7440169726,1690.967,2872.6659999999997,44.952324,-85.90831999999999,2017
,46900,"Vernon, TX Micro Area",2,2514536080,18196245,970.868,7.026,34.084920000000004,-99.24244,2017
,48900,"Wilmington, NC Metro Area",1,2754434938,516785207,1063.493,199.532,34.426033000000004,-77.889634,2017
,12940,"Baton Rouge, LA Metro Area",1,10429606246,456494063,4026.8940000000002,176.253,30.570890000000002,-91.13453299999999,2017
,16940,"Cheyenne, WY Metro Area",1,6956482527,4273816,2685.913,1.65,41.29283,-104.660395,2017
,20940,"El Centro, CA Metro Area",1,10817291631,790230304,4176.58,305.11,33.040814000000005,-115.3554,2017
,23940,"Gillette, WY Micro Area",2,12437264300,11038017,4802.055,4.262,44.191998999999996,-105.51701399999999,2017
,25940,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",1,3189657197,1013306504,1231.5339999999999,391.24,32.386792,-80.830877,2017
,27940,"Juneau, AK Micro Area",2,6829216436,1423792753,2636.775,549.729,58.643522999999995,-134.28116699999998,2017
,30940,"London, KY Micro Area",2,3258431158,47847304,1258.087,18.474,36.920609999999996,-84.04536800000001,2017
,33940,"Montrose, CO Micro Area",2,5804023642,4923261,2240.946,1.901,38.407507,-108.266282,2017
,32940,"Meridian, MS Micro Area",2,5598031466,37039806,2161.4120000000003,14.300999999999998,32.410674,-88.661926,2017
,31940,"Marinette, WI-MI Micro Area",2,6328631551,1151696290,2443.498,444.67199999999997,45.435279,-87.769216,2017
,36940,"Owatonna, MN Micro Area",2,1112775698,6976791,429.645,2.694,44.015260999999995,-93.220453,2017
,44940,"Sumter, SC Metro Area",1,1722537126,44054520,665.075,17.01,33.916253000000005,-80.382288,2017
,40940,"Safford, AZ Micro Area",2,11972778533,47436491,4622.715999999999,18.315,32.931828,-109.87831000000001,2017
,47940,"Waterloo-Cedar Falls, IA Metro Area",1,3893052582,28123594,1503.116,10.859000000000002,42.536796,-92.47160799999999,2017
,10980,"Alpena, MI Micro Area",2,1481123848,2908714548,571.865,1123.0610000000001,44.894954,-83.426574,2017
,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",1,3767138333,45451721,1454.5,17.549,37.121364,-80.53151700000001,2017
,19980,"Dodge City, KS Micro Area",2,2844508248,2097356,1098.271,0.81,37.688416,-99.884748,2017
,20980,"El Dorado, AR Micro Area",2,2691555882,41400824,1039.2160000000001,15.985,33.168219,-92.598145,2017
,21980,"Fallon, NV Micro Area",2,12770128151,242405502,4930.5740000000005,93.59299999999999,39.53771,-118.26416499999999,2017
,24980,"Grenada, MS Micro Area",2,1093252402,70698246,422.10699999999997,27.296999999999997,33.770031,-89.80274,2017
,27980,"Kahului-Wailuku-Lahaina, HI Metro Area",1,3039406468,3309058671,1173.521,1277.635,20.855930999999998,-156.60155,2017
,31980,"Marion, IN Micro Area",2,1072452772,2133506,414.07599999999996,0.8240000000000001,40.515758,-85.654946,2017
,36980,"Owensboro, KY Metro Area",1,2327090349,85985603,898.495,33.199,37.693723,-87.077058,2017
,43980,"Spencer, IA Micro Area",2,1469139466,13866649,567.238,5.354,43.081224,-95.149875,2017
,45980,"Troy, AL Micro Area",2,1740647521,2336975,672.068,0.902,31.798651,-85.941604,2017
,47980,"Watertown, SD Micro Area",2,1780837027,76608850,687.585,29.579,44.966285,-97.198837,2017
