state,geoid,name,lowest_grade_provided,highest_grade_provided,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
IL,1708400,Consolidated High School District 230,9,12,183591295,6134603,70.885,2.369,41.643395,-87.85122199999999,2017
IL,1709300,Centralia High School District 200,9,12,343614839,3326064,132.67,1.284,38.476583000000005,-89.126661,2017
IL,1709780,Chester Non-High School District 122,9,12,89456160,6847720,34.539,2.6439999999999997,38.072379,-90.097555,2017
IL,1711370,Community High School District 155,9,12,171301241,5332928,66.14,2.059,42.241642999999996,-88.300011,2017
IL,1712570,Community High School District 99,9,12,79934756,1466445,30.863000000000003,0.5660000000000001,41.776156,-88.021784,2017
IL,1712870,Dwight Township High School District 230,9,12,412243832,221068,159.168,0.085,41.072998999999996,-88.463154,2017
IL,1712990,East Alton-Wood River Community High School District 14,9,12,31616067,3510104,12.207,1.355,38.839444,-90.102013,2017
IL,1713230,East Peoria Community High School District 309,9,12,80880260,9697305,31.228,3.7439999999999998,40.674131,-89.545826,2017
IL,1713940,DuPage High School District 88,9,12,55706213,1009184,21.508000000000003,0.39,41.902167,-87.990363,2017
IL,1714490,Evanston Township High School District 202,9,12,23094787,57390,8.917,0.022000000000000002,42.047117,-87.69711099999999,2017
IL,1714580,Evergreen Park Community High School District 231,9,12,8191088,0,3.1630000000000003,0.0,41.721275,-87.701334,2017
IL,1715030,Fenton Community High School District 100,9,12,31039326,456293,11.984000000000002,0.17600000000000002,41.965865,-87.961628,2017
IL,1715840,Freeburg Community High School District 77,9,12,296458646,7680273,114.463,2.965,38.401663,-89.908914,2017
IL,1716260,Gardner-South Wilmington Township High School District,9,12,134724131,3740483,52.016999999999996,1.444,41.189747,-88.30833,2017
IL,1716830,Glenbard Township High School District 87,9,12,114566372,3666687,44.233999999999995,1.416,41.893671999999995,-88.072866,2017
IL,1717340,Grant Community High School District 124,9,12,60210845,16990948,23.248,6.56,42.381957,-88.159389,2017
IL,1717550,Grayslake Community High School District 127,9,12,63777930,4616883,24.625,1.7830000000000001,42.360642,-88.046984,2017
IL,1717901,Flanagan-Cornell District 74 in Cornell,9,12,161795241,338506,62.468999999999994,0.131,40.993512,-88.723349,2017
IL,1717902,Flanagan-Cornell District 74 in Pontiac,9,12,12723901,0,4.913,0.0,40.951212,-88.674811,2017
IL,1717903,Flanagan-Cornell District 74 in Rooks Creek,9,12,762687,0,0.294,0.0,40.934111,-88.767583,2017
IL,1718030,Hall High School District 502,9,12,182568966,6498084,70.49,2.509,41.354094,-89.252534,2017
IL,1719080,Township High School District 113,9,12,64134620,347562,24.763,0.134,42.178788,-87.83670699999999,2017
IL,1719320,Hinsdale Township High School District 86,9,12,73063547,2242400,28.21,0.866,41.778856,-87.94368100000001,2017
IL,1719560,Homewood-Flossmoor Community High School District 233,9,12,29900114,154112,11.544,0.06,41.54858,-87.669966,2017
IL,1719620,Hononegah Community High School District 207,9,12,284457230,4249415,109.83,1.641,42.436275,-89.101302,2017
