state,geoid,ansi_code,name,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
IN,18037,451675,Dubois County,1106626119,20883162,427.27099999999996,8.062999999999999,38.373344,-86.873385,2017
IN,18039,450348,Elkhart County,1199614707,12423391,463.17400000000004,4.797,41.600693,-85.863986,2017
IN,18041,450349,Fayette County,556901556,366408,215.021,0.141,39.639655,-85.18503100000001,2017
IN,18043,450350,Floyd County,383225658,2708194,147.964,1.046,38.317935999999996,-85.911474,2017
IN,18045,450351,Fountain County,1024769248,5734092,395.666,2.214,40.121237,-87.234872,2017
IN,18047,450352,Franklin County,995670602,17143494,384.431,6.619,39.409762,-85.066964,2017
IN,18049,450353,Fulton County,954146361,7426329,368.398,2.867,41.050384,-86.265006,2017
IN,18051,450354,Gibson County,1262606254,30223915,487.495,11.67,38.317398,-87.580523,2017
IN,18053,450355,Grant County,1072452772,2133506,414.07599999999996,0.8240000000000001,40.515758,-85.654946,2017
IN,18055,451676,Greene County,1404983930,8919620,542.467,3.444,39.047146999999995,-87.00477099999999,2017
IN,18057,450356,Hamilton County,1021307261,20999468,394.329,8.107999999999999,40.05365,-86.021726,2017
IN,18059,450357,Hancock County,792563315,2628056,306.01,1.015,39.82253,-85.773162,2017
IN,18061,451677,Harrison County,1254889443,5193189,484.51599999999996,2.005,38.186440000000005,-86.10368100000001,2017
IN,18063,450358,Hendricks County,1053849206,4880843,406.89300000000003,1.885,39.768963,-86.509908,2017
IN,18065,450359,Henry County,1014954735,7655289,391.876,2.9560000000000004,39.929590999999995,-85.397363,2017
IN,18067,450360,Howard County,758866967,2386193,293.0,0.9209999999999999,40.483537,-86.114118,2017
IN,18069,450361,Huntington County,991057049,13133342,382.649,5.071000000000001,40.826394,-85.478597,2017
IN,18071,451678,Jackson County,1319087093,11923424,509.30199999999996,4.604,38.911957,-86.042516,2017
IN,18073,450494,Jasper County,1449422928,4569484,559.625,1.764,41.017688,-87.118814,2017
IN,18075,450362,Jay County,994310106,458556,383.905,0.177,40.434971999999995,-85.00338,2017
IN,18077,450363,Jefferson County,934033957,5843999,360.63300000000004,2.256,38.783604,-85.44009,2017
IN,18079,450364,Jennings County,975364386,4546211,376.59,1.755,38.996229,-85.628103,2017
IN,18081,450365,Johnson County,829909465,3525572,320.43,1.361,39.495986,-86.0946,2017
IN,18083,450366,Knox County,1336511182,20758112,516.03,8.015,38.688390999999996,-87.420354,2017
IN,18085,450367,Kosciusko County,1376361579,59509695,531.4159999999999,22.976999999999997,41.244293,-85.861575,2017
IN,18087,450368,LaGrange County,983237213,18317909,379.63,7.0729999999999995,41.642468,-85.426302,2017
IN,18089,450495,Lake County,1292050352,330971523,498.86300000000006,127.789,41.472246999999996,-87.374337,2017
IN,18091,450507,LaPorte County,1549582915,38751745,598.297,14.962,41.549013,-86.744739,2017
IN,18093,451703,Lawrence County,1163367128,7122898,449.17900000000003,2.75,38.839815,-86.48782,2017
IN,18095,450370,Madison County,1170457563,2559342,451.916,0.988,40.166203,-85.722454,2017
IN,18097,450371,Marion County,1026465038,17326366,396.32,6.69,39.782976,-86.13579399999999,2017
IN,18099,450372,Marshall County,1148996723,15831838,443.63,6.1129999999999995,41.325003,-86.269036,2017
IN,18101,451679,Martin County,869615710,12033246,335.76099999999997,4.646,38.705321999999995,-86.801847,2017
IN,18103,450373,Miami County,968246952,9184624,373.842,3.5460000000000003,40.772881,-86.044258,2017
IN,18105,451680,Monroe County,1021814153,43504254,394.525,16.797,39.160728999999996,-86.52331,2017
IN,18107,450374,Montgomery County,1306954200,2144021,504.61800000000005,0.828,40.040296000000005,-86.892715,2017
IN,18109,450375,Morgan County,1046298638,14115819,403.978,5.45,39.482646,-86.447457,2017
IN,18111,450376,Newton County,1040539918,4349506,401.755,1.679,40.962399,-87.402172,2017
IN,18113,450377,Noble County,1064071452,17074609,410.84,6.593,41.40468,-85.417271,2017
IN,18115,450378,Ohio County,223126822,3352208,86.15,1.294,38.940527,-84.964299,2017
IN,18117,451681,Orange County,1031786463,25425748,398.375,9.817,38.547381,-86.489257,2017
IN,18119,450379,Owen County,997910783,6566402,385.296,2.535,39.317339000000004,-86.83884499999999,2017
