geoid,name,urban_area_type,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
02197,"Anaconda-Deer Lodge County, MT Urban Cluster",C,6204190,0,2.395,0.0,46.130926,-112.956934,2017
02224,"Anacortes, WA Urban Cluster",C,24575118,590029,9.488999999999999,0.228,48.48661,-122.628592,2017
02251,"Anadarko, OK Urban Cluster",C,6280062,0,2.425,0.0,35.071385,-98.241229,2017
02278,"Anamosa, IA Urban Cluster",C,5458867,0,2.108,0.0,42.110071999999995,-91.276045,2017
02305,"Anchorage, AK Urbanized Area",U,220106755,2653412,84.984,1.024,61.167916000000005,-149.847166,2017
02332,"Anchorage Northeast, AK Urban Cluster",C,42332738,348414,16.345,0.135,61.358397,-149.54688000000002,2017
02359,"Andalusia, AL Urban Cluster",C,14926867,32462,5.763,0.013000000000000001,31.311564,-86.479556,2017
02386,"Anderson, IN Urbanized Area",U,171099379,747557,66.062,0.289,40.088751,-85.679816,2017
02413,"Anderson, SC Urbanized Area",U,191929840,3276231,74.105,1.265,34.520711,-82.660933,2017
02440,"Andrews, SC Urban Cluster",C,7781114,0,3.0039999999999996,0.0,33.450931,-79.562021,2017
02467,"Andrews, TX Urban Cluster",C,16186156,30529,6.25,0.012,32.320646,-102.54650500000001,2017
02494,"Angels, CA Urban Cluster",C,6902237,23589,2.665,0.009000000000000001,38.074409,-120.551042,2017
02548,"Angola, IN Urban Cluster",C,23646951,3913804,9.13,1.511,41.661031,-85.016767,2017
02575,"Anna, IL Urban Cluster",C,10306980,47210,3.98,0.018000000000000002,37.460138,-89.251143,2017
02581,"Anna, TX Urban Cluster",C,18103770,14418,6.99,0.006,33.379026,-96.56367,2017
02590,"Annandale, MN Urban Cluster",C,6952100,0,2.6839999999999997,0.0,45.260115,-94.12131099999999,2017
02602,"Ann Arbor, MI Urbanized Area",U,413224191,13556145,159.547,5.234,42.240003,-83.662679,2017
02629,"Anniston--Oxford, AL Urbanized Area",U,224828975,1389229,86.807,0.536,33.664398,-85.828795,2017
02656,"Antigo, WI Urban Cluster",C,10801706,84336,4.171,0.033,45.142639,-89.15319699999999,2017
02683,"Antioch, CA Urbanized Area",U,209064468,3260493,80.72,1.2590000000000001,37.991687,-121.78211999999999,2017
02710,"Apalachicola, FL Urban Cluster",C,7242675,15809621,2.7960000000000003,6.104,29.751831,-84.909118,2017
02764,"Appleton, WI Urbanized Area",U,268670157,10747312,103.734,4.15,44.24668,-88.411096,2017
02773,"Apple Valley, OH Urban Cluster",C,12288354,2044219,4.745,0.789,40.438206,-82.34900999999999,2017
02791,"Arab, AL Urban Cluster",C,21701761,301947,8.379,0.11699999999999999,34.382557,-86.511915,2017
02825,"Arbuckle, CA Urban Cluster",C,1871310,0,0.723,0.0,39.016726,-122.060221,2017
02845,"Arcade, NY Urban Cluster",C,6117049,0,2.362,0.0,42.534572,-78.466924,2017
02899,"Arcadia, LA Urban Cluster",C,7054368,0,2.7239999999999998,0.0,32.552383,-92.923763,2017
02901,"Arcadia, WI Urban Cluster",C,5469613,0,2.112,0.0,44.249691,-91.490922,2017
02912,"Arcadia--Southeast Arcadia, FL Urban Cluster",C,26228702,15770,10.127,0.006,27.213340999999996,-81.852437,2017
02926,"Arcata--McKinleyville, CA Urban Cluster",C,42642057,312128,16.464000000000002,0.121,40.914605,-124.089324,2017
02953,"Archbold, OH Urban Cluster",C,9776705,37919,3.775,0.015,41.525040000000004,-84.294163,2017
02965,"Archer Lodge--Clayton, NC Urban Cluster",C,52388290,476072,20.227,0.184,35.668587,-78.365739,2017
